,CDL
symbol,CDL
price,61.62
beta,0
volAvg,26868
mktCap,8889985675
lastDiv,1.9470000000000003
range,52.125-65.27
changes,0.69
companyName,VictoryShares US Large Cap High Div Volatility Wtd ETF
currency,USD
cik,
isin,US92647N8653
cusip,92647N865
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The fund seeks to achieve its investment objective by investing at least 80% of its assets directly or indirectly in the securities included in the Nasdaq Victory US Large Cap High Dividend 100 Volatility Weighted Index. The index universe begins with the stocks included in the Nasdaq Victory US Large Cap 500 Volatility Weighted Index, a volatility weighted index comprised of the 500 largest U.S. companies by market capitalization with positive earnings over the last twelve months."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/CDL.png
ipoDate,2015-07-08
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
