,EURL
symbol,EURL
price,21.91
beta,0
volAvg,43803
mktCap,31994844
lastDiv,0.305
range,9.46-35.97
changes,0.41
companyName,Direxion Daily FTSE Europe Bull 3X Shares
currency,USD
cik,0001424958
isin,US25459Y2809
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests at least 80% of its net assets (plus borrowing for investment purposes) in financial instruments, such as swap agreements, ETFs that track the index, securities of the index and other financial instruments that provide daily leveraged exposure to the index or to ETFs that track the index. The index is a market capitalization weighted index that is designed to measure the equity market performance of large-, mid- and small-cap companies in developed European markets. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/EURL.png
ipoDate,2014-01-22
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
