,SPHD
symbol,SPHD
price,45.39
beta,0
volAvg,770175
mktCap,0
lastDiv,1.7109999999999999
range,38.33-49.61
changes,0.61
companyName,Invesco S&P 500 High Dividend Low Volatility ETF
currency,USD
cik,
isin,US46138E3624
cusip,46138E362
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund generally will invest at least 90% of its total assets in the securities that comprise the underlying index. Strictly in accordance with its guidelines and mandated procedures, S&P Dow Jones Indices LLC (the “index Provider”) compiles, maintains and calculates the underlying index, which is designed to measure the performance of 50 least volatile high yielding constituents of the S&P 500 ® Index in the past year."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/SPHD.png
ipoDate,2012-10-18
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
