,NORW
symbol,NORW
price,25.7
beta,0
volAvg,22836
mktCap,0
lastDiv,0.557
range,21.72-33.3
changes,0.1339
companyName,Global X MSCI Norway ETF
currency,USD
cik,
isin,US37950E7470
cusip,37950E101
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests at least 80% of its total assets in the securities of the underlying index and in American Depositary Receipts (""ADRs"") and Global Depositary Receipts (""GDRs"") based on the securities in the underlying index. The underlying index is designed to represent the performance of the broad Norway equity universe. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/NORW.png
ipoDate,2010-11-09
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
