,CONL
symbol,CONL
price,9.19
beta,0
volAvg,176031
mktCap,0
lastDiv,0
range,3.8-24.43
changes,0.51
companyName,GraniteShares ETF Trust - GraniteShares 1.5x Long COIN Daily ETF
currency,USD
cik,
isin,
cusip,
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,
ceo,
sector,
country,
fullTimeEmployees,
phone,
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/CONL.png
ipoDate,2022-08-10
defaultImage,True
isEtf,True
isActivelyTrading,False
isAdr,False
isFund,False
