,PSIL
symbol,PSIL
price,2.17
beta,0
volAvg,22477
mktCap,0
lastDiv,0
range,1.79-5.24
changes,0.01
companyName,AdvisorShares Psychedelics ETF
currency,USD
cik,0001408970
isin,
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund is an actively managed ETF that seeks to achieve its investment objective by investing, under normal circumstances, at least 80% of its net assets (plus any borrowings for investment purposes) in securities of companies that derive at least 50% of their net revenue from or devote 50% of their assets to psychedelic drugs and derivatives that have economic characteristics similar to such securities. The fund primarily invests in publicly listed life sciences companies focused on psychedelic medicines as well as other companies with activities in the psychedelics business. The fund is non-diversified."
ceo,
sector,
country,
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/PSIL.png
ipoDate,2021-09-16
defaultImage,True
isEtf,True
isActivelyTrading,False
isAdr,False
isFund,False
