,FNGG
symbol,FNGG
price,3.94
beta,0
volAvg,145980
mktCap,0
lastDiv,1.181
range,2.6-17.26
changes,0.16
companyName,Direxion Daily Select Large Caps & FANGs Bull 2X Shares
currency,USD
cik,0001424958
isin,
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The index is an equal-weighted index designed to include Facebook, Apple, Amazon, Netflix and Google and similar highly-traded growth stocks of technology and tech-enabled companies from the IT, communication services and consumer discretionary sectors. The fund invests at least 80% of its net assets in financial instruments, such as swap agreements, securities of the index, and ETFs that track the index and other financial instruments that provide daily leveraged exposure to the index or to ETFs that track the index. It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/FNGG.png
ipoDate,
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
