,ONLN
symbol,ONLN
price,36.02
beta,0
volAvg,71537
mktCap,0
lastDiv,0.57
range,26.1-52.47
changes,0.85
companyName,ProShares Online Retail ETF
currency,USD
cik,
isin,US74347B1695
cusip,74347B169
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"Under normal circumstances, the fund will invest at least 80% of its total assets in component securities of the index. The index is designed to measure the performance of publicly traded companies that principally sell online or through other non-store sales channels, such as through mobile or app purchases, rather than through ""brick and mortar"" store locations. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/ONLN.png
ipoDate,2018-07-13
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
