,GRU
symbol,GRU
price,5.48
beta,0
volAvg,13247
mktCap,0
lastDiv,0
range,4.67-8.5
changes,0.06
companyName,ELEMENTS Linked to the MLCX Grains Index - Total Return
currency,USD
cik,0000352960
isin,US8702972154
cusip,870297215
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The index is designed reflect the performance of a fully collateralized investment in the four exchange-traded futures contracts on four physical commodities: corn, soybeans, soy meal and wheat."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/GRU.png
ipoDate,2008-02-15
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
