,DVYE
symbol,DVYE
price,26.09
beta,0
volAvg,203985
mktCap,581042198
lastDiv,2.387
range,22.29-40.67
changes,0.22
companyName,iShares Emerging Markets Dividend ETF
currency,USD
cik,
isin,US4642863199
cusip,464286319
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund generally will invest at least 80% of its assets in the component securities of the index and in investments that have economic characteristics that are substantially identical to the component securities of the index. The index measures the performance of 100 leading dividend-paying emerging-market companies, selected by dividend yield subject to screening and buffering criteria."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/DVYE.png
ipoDate,2012-02-23
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
