,GPJA
symbol,GPJA
price,24.85
beta,0.120605
volAvg,22036
mktCap,230148275
lastDiv,1.2550000000000001
range,21.1-25.77
changes,0.21
companyName,Georgia Power Company 5% JR SUB NT 77
currency,USD
cik,0000041091
isin,US3733344408
cusip,373334440
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,
website,
description,
ceo,None
sector,
country,US
fullTimeEmployees,
phone,
address,
city,
state,
zip,
dcfDiff,0.419849
dcf,24.9198
image,https://financialmodelingprep.com/image-stock/GPJA.png
ipoDate,2017-09-25
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
