,BHFAL
symbol,BHFAL
price,24.75
beta,0
volAvg,31609
mktCap,5061845473
lastDiv,1.564
range,21.01-26.48
changes,-0.2
companyName,"Brighthouse Financial, Inc."
currency,USD
cik,0001685040
isin,US10922N2027
cusip,10922N202
exchange,NASDAQ Global Select
exchangeShortName,NASDAQ
industry,
website,
description,
ceo,None
sector,Industrials
country,US
fullTimeEmployees,
phone,
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/BHFAL.png
ipoDate,2018-09-14
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
