,VWOB
symbol,VWOB
price,63.44
beta,0
volAvg,481809
mktCap,0
lastDiv,2.954
range,55.45-75.42
changes,0.38
companyName,Vanguard Emerging Markets Government Bond Index Fund
currency,USD
cik,
isin,US9219468850
cusip,921946885
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The manager employs an indexing investment approach designed to track the performance of index. All of the fund's investments will be selected through the sampling process, and under normal circumstances at least 80% of the fund's assets will be invested in bonds included in the index. It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/VWOB.png
ipoDate,2013-05-31
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
