,TMF
symbol,TMF
price,9.32
beta,0
volAvg,15113486
mktCap,0
lastDiv,0.12399999999999999
range,6.15-25.55
changes,0.23
companyName,Direxion Daily 20+ Year Treasury Bull 3X Shares
currency,USD
cik,0001424958
isin,US25459W5408
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund, under normal circumstances, invests at least 80% of its net assets in financial instruments, such as swap agreements, securities of the index, and ETFs that track the index and other financial instruments that provide daily leveraged exposure to the index or to ETFs that track the index. The index is a market value weighted index that includes publicly issued U.S. Treasury securities that have a remaining maturity of greater than 20 years. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/TMF.png
ipoDate,2009-04-16
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
