,FEMB
symbol,FEMB
price,27.69
beta,0
volAvg,54790
mktCap,92158467
lastDiv,1.645
range,23.95-32.28
changes,0.08
companyName,First Trust Emerging Markets Local Currency Bond ETF
currency,USD
cik,
isin,US33739P2020
cusip,33739P202
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"Under normal market conditions, the fund seeks to achieve its investment objective by investing at least 80% of its net assets (including investment borrowings) in bonds, notes and bills issued or guaranteed by entities incorporated or domiciled in emerging market countries (collectively, ""Bonds"") that are denominated in the local currency of the issuer. It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/FEMB.png
ipoDate,2014-11-04
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
