,FKU
symbol,FKU
price,34.84
beta,0
volAvg,11534
mktCap,20695901
lastDiv,1.758
range,24.81-43.1
changes,-0.17
companyName,First Trust United Kingdom AlphaDEX Fund
currency,USD
cik,
isin,US33737J2244
cusip,33737J224
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The fund will normally invest at least 90% of its net assets (including investment borrowings) in the common stocks, depositary receipts, real estate investment trusts (""REITs"") and preferred shares that comprise the index. The index is designed to select stocks from the NASDAQ United Kingdom Index (the ""base index"") that may generate positive alpha, or risk-adjusted returns, relative to traditional indices through the use of the AlphaDEX® selection methodology."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/FKU.png
ipoDate,2012-02-14
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
