,XTL
symbol,XTL
price,86.76
beta,0
volAvg,7157
mktCap,0
lastDiv,0.604
range,74.18-94.55
changes,1.3138
companyName,SPDR S&P Telecom ETF
currency,USD
cik,
isin,US78464A5406
cusip,78464A540
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"In seeking to track the performance of the S&P Telecom Select Industry Index (the ""index""), the fund employs a sampling strategy. It generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index. The index represents the telecommunications segment of the S&P Total Market Index (""S&P TMI"")."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/XTL.png
ipoDate,2011-01-26
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
