,BRZU
symbol,BRZU
price,79.59
beta,0
volAvg,186829
mktCap,422111693
lastDiv,3.222
range,54.41-128.88
changes,3.46
companyName,Direxion Daily MSCI Brazil Bull 2X Shares
currency,USD
cik,0001424958
isin,US25460G7088
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests at least 80% of its net assets in financial instruments, such as swap agreements, ETFs that track the index, securities of the index and other financial instruments that provide daily leveraged exposure to the index or to ETFs that track the index. The index is designed to measure the performance of the large- and mid-capitalization segments of the Brazilian equity market, covering approximately 85% of the free float-adjusted market capitalization of Brazilian issuers. It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/BRZU.png
ipoDate,2013-04-10
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
