,NFTZ
symbol,NFTZ
price,6.1
beta,0
volAvg,4250
mktCap,0
lastDiv,0
range,4.15-16.86
changes,0.1233
companyName,Defiance Digital Revolution ETF
currency,USD
cik,
isin,
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,The index is a rules-based index that consists of the common stock of companies (i) that earn a majority of their revenue from activities in the blockchain and cryptocurrency ecosystems or (ii) with exposure to the NFT ecosystem. The fund will generally invest in all of the component securities of the index in the same approximate proportions as in the index. The fund is non-diversified.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/NFTZ.png
ipoDate,
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
