,WEBS
symbol,WEBS
price,23.81
beta,0
volAvg,523795
mktCap,0
lastDiv,0.075
range,19.87-61.4
changes,-1.46
companyName,Direxion Daily Dow Jones Internet Bear 3X Shares
currency,USD
cik,0001424958
isin,US25460G6668
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund, under normal circumstances, invests in swap agreements, futures contracts, short positions or other financial instruments that, in combination, provide inverse (opposite) or short leveraged exposure to the index equal to at least 80% of the fund's net assets. The index includes companies that generate at least 50% of their annual sales/revenue from the internet as determined by the index provider. It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/WEBS.png
ipoDate,2019-11-07
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
