,ITOT
symbol,ITOT
price,91.62
beta,0
volAvg,1901168
mktCap,29194711626
lastDiv,1.409
range,77.44-103.48
changes,0.95
companyName,iShares Core S&P Total U.S. Stock Market ETF
currency,USD
cik,
isin,US4642871507
cusip,464287150
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The index consists of all U.S. common equities listed on the NYSE, the NASDAQ Global Select Market, the NASDAQ Select Market, the NASDAQ Capital Market, Cboe BZX, Cboe BYX, Cboe EDGA and Cboe EDGX, Inc. The fund generally will invest at least 80% of its assets in the component securities of its index and in investments that have economic characteristics that are substantially identical to the component securities of its index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/ITOT.png
ipoDate,2004-01-20
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
