,JCPB
symbol,JCPB
price,47.59
beta,0
volAvg,166514
mktCap,0
lastDiv,1.2249999999999999
range,44.51-53.21
changes,0.18
companyName,JPMorgan Core Plus Bond ETF
currency,USD
cik,
isin,US46641Q6706
cusip,
exchange,BATS
exchangeShortName,ETF
industry,
website,
description,"As a matter of non-fundamental policy, the fund will ordinarily invest at least 80% of its assets in bonds. The fund's average weighted maturity will ordinarily range between five and twenty years. The balance of the fund's assets are not required to meet any minimum quality rating although the fund will not, under normal circumstances, invest more than 30% of its assets in below investment grade securities (or the unrated equivalent)."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/JCPB.png
ipoDate,2019-01-28
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
