,AAPD
symbol,AAPD
price,27.23
beta,0
volAvg,200606
mktCap,0
lastDiv,0.032
range,23.4-31.59
changes,-0.24
companyName,Direxion Daily AAPL Bear 1X Shares
currency,USD
cik,
isin,
cusip,
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The fund, under normal circumstances, invests in financial instruments, including swap agreements and options, that, in combination, provide inverse (opposite) or short leveraged exposure to AAPL equal to at least 80% of the fund’s net assets (plus borrowings for investment purposes). It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/AAPD.png
ipoDate,2022-08-10
defaultImage,False
isEtf,True
isActivelyTrading,False
isAdr,False
isFund,False
