,ZEB.TO
symbol,ZEB.TO
price,36.45
beta,0
volAvg,750072
mktCap,0
lastDiv,1.4600000000000004
range,31.52-43.0
changes,0.36
companyName,BMO Equal Weight Banks Index ETF
currency,CAD
cik,
isin,
cusip,
exchange,Toronto Stock Exchange
exchangeShortName,TSX
industry,
website,
description,NA
ceo,
sector,
country,CA
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/ZEB.TO.png
ipoDate,2010-04-20
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
