,AOR
symbol,AOR
price,50.07
beta,0
volAvg,1152980
mktCap,1276741339
lastDiv,1.001
range,43.57-55.7
changes,0.38
companyName,iShares Core Growth Allocation ETF
currency,USD
cik,
isin,US4642898674
cusip,464289867
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,The fund is a fund of funds and seeks its investment objective by investing primarily in underlying funds that themselves seek investment results corresponding to their own respective underlying indexes. It generally will invest at least 80% of its assets in the component securities of its underlying index. The index measures the performance of the S&P Dow Jones Indices LLC proprietary allocation model.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/AOR.png
ipoDate,2008-11-04
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
