,REK
symbol,REK
price,18.47
beta,0
volAvg,88654
mktCap,0
lastDiv,0.097
range,16.03-23.07
changes,-0.38
companyName,ProShares Short Real Estate
currency,USD
cik,
isin,US74347X6417
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests in financial instruments that ProShare Advisors believes, in combination, should produce daily returns consistent with the fund's investment objective. The index is designed to track the performance of REITs and other companies that invest directly or indirectly in real estate through development, management, or ownership, including property agencies. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/REK.png
ipoDate,2010-03-18
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
