,CTDD
symbol,CTDD
price,20.97
beta,0.772623
volAvg,54352
mktCap,0
lastDiv,1.688
range,16.896-25.43
changes,0.56
companyName,Qwest Corp. 6.75% NT 57
currency,USD
cik,0000068622
isin,
cusip,74913G873
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,
website,
description,
ceo,None
sector,
country,US
fullTimeEmployees,
phone,
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/CTDD.png
ipoDate,2017-04-28
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
