,DES
symbol,DES
price,31.21
beta,0
volAvg,205842
mktCap,2230748638
lastDiv,0.8160000000000001
range,25.74-32.69
changes,0.79
companyName,WisdomTree U.S. SmallCap Dividend Fund
currency,USD
cik,
isin,US25009XJS53
cusip,97717W604
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"Under normal circumstances, at least 95% of the fund's total assets (exclusive of collateral held from securities lending) will be invested in component securities of the index and investments that have economic characteristics that are substantially identical to the economic characteristics of such component securities. The index is a fundamentally weighted index measuring the performance of the small-capitalization segment of the U.S. dividend-paying market. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/DES.png
ipoDate,2006-06-16
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
