,091230.KS
symbol,091230.KS
price,25995
beta,0
volAvg,109625
mktCap,0
lastDiv,0
range,0.0-39150.0
changes,-290
companyName,Mirae Asset TIGER Semicon ETF
currency,KRW
cik,
isin,
cusip,
exchange,KSE
exchangeShortName,KSC
industry,
website,
description,
ceo,
sector,
country,
fullTimeEmployees,
phone,
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/091230.KS.png
ipoDate,2006-06-27
defaultImage,True
isEtf,True
isActivelyTrading,False
isAdr,False
isFund,False
