,MSOX
symbol,MSOX
price,5.41
beta,0
volAvg,77168
mktCap,0
lastDiv,0
range,4.47-34.63
changes,0.37
companyName,Advisorshares Msos 2x Daily ETF
currency,USD
cik,
isin,
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund will enter into one or more swap agreements intended to produce economically-leveraged investment results relative to the returns of the US Cannabis ETF. The US Cannabis ETF primarily invests in exchange-listed equity securities, including common and preferred stock, of mid- and small-capitalization companies, and in total return swaps intended to provide exposure to such companies. The fund is non-diversified."
ceo,
sector,
country,
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/MSOX.png
ipoDate,2022-08-24
defaultImage,True
isEtf,True
isActivelyTrading,False
isAdr,False
isFund,False
