,ECOW
symbol,ECOW
price,19.65
beta,0
volAvg,35491
mktCap,0
lastDiv,1.3830000000000002
range,16.34-26.36
changes,0.13
companyName,Pacer Emerging Markets Cash Cows 100 ETF
currency,USD
cik,
isin,US69374H8658
cusip,
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The index uses an objective, rules-based methodology to provide exposure to large and mid-capitalization companies in emerging markets with high free cash flow yields. Under normal circumstances, at least 80% of the fund's total assets (exclusive of collateral held from securities lending) will be invested in the component securities of the index and investments that have economic characteristics that are substantially identical to the economic characteristics of such component securities. It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/ECOW.png
ipoDate,2019-05-06
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
