,SOXS
symbol,SOXS
price,24.07
beta,0
volAvg,29599901
mktCap,0
lastDiv,0.074
range,23.01-89.59
changes,-1.33
companyName,Direxion Daily Semiconductor Bear 3X Shares
currency,USD
cik,0001424958
isin,US25460G6908
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests in swap agreements, futures contracts, short positions or other financial instruments that, in combination, provide inverse (opposite) or short leveraged exposure to the index equal to at least 80% of the fund's net assets (plus borrowing for investment purposes). The index is a rules-based, modified float-adjusted market capitalization-weighted index that tracks the performance of the thirty largest U.S. listed semiconductor companies. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/SOXS.png
ipoDate,2010-03-11
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
