,DSTL
symbol,DSTL
price,43.61
beta,0
volAvg,101383
mktCap,0
lastDiv,0.661
range,36.33-45.57
changes,0.79
companyName,Distillate U.S. Fundamental Stability & Value ETF
currency,USD
cik,
isin,US26922A3216
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"Under normal circumstances, at least 80% of the fund's net assets, plus borrowings for investment purposes, will be invested in U.S. assets. The index was developed in 2018 by Distillate Capital Partners LLC, the fund's investment adviser and index provider (the ""Adviser""), and uses an objective, rules-based methodology to measure the performance of U.S.-listed, large-capitalization equity securities, selected based on certain fundamental factors."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/DSTL.png
ipoDate,2018-10-24
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
