,ARKW
symbol,ARKW
price,49.79
beta,0
volAvg,692303
mktCap,553369545
lastDiv,3.314
range,36.02-100.17
changes,1.85
companyName,ARK Next Generation Internet ETF
currency,USD
cik,0001579982
isin,US00214Q4010
cusip,00214Q401
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund is an actively-managed exchange-traded fund (""ETF"") that will invest under normal circumstances primarily (at least 80% of its assets) in domestic and foreign equity securities of companies that are relevant to the fund's investment theme of next generation internet. Under normal circumstances, substantially all of the fund's assets will be invested in equity securities, including common stocks, partnership interests, business trust shares and other equity investments or ownership interests in business enterprises. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/ARKW.png
ipoDate,2014-09-29
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
