,VALQ
symbol,VALQ
price,49.65
beta,0
volAvg,8595
mktCap,0
lastDiv,1.29
range,41.99-53.68
changes,0.72
companyName,American Century STOXX U.S. Quality Value ETF
currency,USD
cik,0001710607
isin,US0250722081
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"Under normal market conditions, the fund invests at least 80% of its assets in the component securities of the underlying index. The underlying index is designed to select securities of large- and mid-capitalization companies that are undervalued or have sustainable income."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/VALQ.png
ipoDate,2018-01-11
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
