,GLDM
symbol,GLDM
price,38.28
beta,0
volAvg,1574268
mktCap,0
lastDiv,0
range,32.12-41.14
changes,0.12
companyName,SPDR Gold MiniShares
currency,USD
cik,0001618181
isin,US98149E2046
cusip,98149E303
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,The Shares are designed for investors who want a cost-effective and convenient way to invest in gold. Advantages of investing in the Shares include ease and flexibility of investment and expenses.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/GLDM.png
ipoDate,2018-06-25
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
