,JAAA
symbol,JAAA
price,49.9
beta,0
volAvg,304327
mktCap,0
lastDiv,1.144
range,48.51-51.4
changes,0.04
companyName,Janus Henderson AAA CLO ETF
currency,USD
cik,
isin,US47103U8457
cusip,47103U845
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The advisor pursues the investment objective by investing, under normal circumstances, at least 90% of the fund's net assets in CLOs of any maturity that are rated AAA at the time of purchase, or if unrated, determined to be of comparable credit quality by the Adviser. The fund may invest its remaining assets in other high-quality CLOs with a minimum rating of A-at the time of purchase or if unrated, determined to be of comparable credit quality by the Adviser."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/JAAA.png
ipoDate,2020-10-19
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
