,MOO
symbol,MOO
price,91.93
beta,0
volAvg,79449
mktCap,1029616000
lastDiv,1.847
range,80.5-109.19
changes,1.21
companyName,VanEck Agribusiness ETF
currency,USD
cik,
isin,US92189F7006
cusip,92189F700
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund normally invests at least 80% of its total assets in securities that comprise the fund's benchmark index. The index includes equity securities of companies that generate at least 50% of their revenues from agri-chemicals, animal health and fertilizers, seeds and traits, from farm/irrigation equipment and farm machinery, aquaculture and fishing, livestock, cultivation and plantations and trading of agricultural products. It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/MOO.png
ipoDate,2007-08-31
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
