,ZWC.TO
symbol,ZWC.TO
price,18.18
beta,0
volAvg,100500
mktCap,0
lastDiv,1.2100000000000002
range,16.15-20.4
changes,0.13
companyName,BMO CA High Dividend Covered Call ETF
currency,CAD
cik,
isin,
cusip,
exchange,Toronto Stock Exchange
exchangeShortName,TSX
industry,
website,
description,NA
ceo,
sector,
country,CA
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/ZWC.TO.png
ipoDate,2017-02-09
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
