,VGK
symbol,VGK
price,60.74
beta,0
volAvg,4396355
mktCap,17134329124
lastDiv,1.8030000000000002
range,44.99-67.38
changes,0.43
companyName,Vanguard European Stock Index Fund
currency,USD
cik,
isin,US9220428745
cusip,922042874
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund employs an indexing investment approach by investing all, or substantially all, of its assets in the common stocks included in the FTSE Developed Europe All Cap Index. The index is a market-capitalization-weighted index."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/VGK.png
ipoDate,2005-03-04
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
