,HGER
symbol,HGER
price,22.96
beta,0
volAvg,7803
mktCap,0
lastDiv,0
range,19.37-27.24
changes,0.2151
companyName,Harbor All-Weather Inflation Focus ETF
currency,USD
cik,
isin,
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,
ceo,
sector,
country,
fullTimeEmployees,
phone,
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/HGER.png
ipoDate,2022-02-10
defaultImage,True
isEtf,True
isActivelyTrading,False
isAdr,False
isFund,False
