,SQQQ
symbol,SQQQ
price,39.36
beta,0
volAvg,116321422
mktCap,0
lastDiv,0.151
range,31.17-69.55
changes,-1.84
companyName,ProShares UltraPro Short QQQ
currency,USD
cik,
isin,US74347G8612
cusip,
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The fund invests in financial instruments that ProShare Advisors believes, in combination, should produce daily returns consistent with the fund's investment objective. The index includes 100 of the largest domestic and international non-financial companies listed on The Nasdaq Stock Market based on market capitalization. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/SQQQ.png
ipoDate,2010-02-09
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
