,IDAT
symbol,IDAT
price,23.29
beta,0
volAvg,2514
mktCap,0
lastDiv,0.178
range,18.13-28.21
changes,0.31
companyName,iShares Cloud 5G and Tech ETF
currency,USD
cik,
isin,
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund will invest at least 80% of its assets in the component securities of the index and in investments that have economic characteristics that are substantially identical to the component securities of the index and may invest up to 10% of its assets in certain futures, options and swap contracts, cash and cash equivalents. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/IDAT.png
ipoDate,
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
