,BETZ
symbol,BETZ
price,16.2
beta,0
volAvg,50152
mktCap,0
lastDiv,0.095
range,12.85-23.6
changes,0.14
companyName,Roundhill Sports Betting & iGaming ETF
currency,USD
cik,
isin,US53656F7895
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"Under normal circumstances, at least 80% of the fund's net assets (plus borrowings for investment purposes) will be invested in securities issued by Sports Betting and iGaming Companies. The index tracks the performance of the common stock (or corresponding American Depositary Receipts (""ADRs"") or Global Depositary Receipts (""GDRs"")) of exchange-listed companies that earn revenue from online gaming (""iGaming""). The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/BETZ.png
ipoDate,2020-06-04
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
