,MDYG
symbol,MDYG
price,70
beta,0
volAvg,337300
mktCap,0
lastDiv,0.759
range,58.97-76.88
changes,1.54
companyName,SPDR S&P 400 Mid Cap Growth ETF
currency,USD
cik,
isin,US78464A8210
cusip,78464A821
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index. The index measures the performance of the mid-capitalization growth segment of the U.S. equity market."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/MDYG.png
ipoDate,2005-11-08
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
