,YYY
symbol,YYY
price,12.7
beta,0
volAvg,147901
mktCap,0
lastDiv,1.4400000000000004
range,11.18-16.0
changes,0.11
companyName,Amplify High Income ETF
currency,USD
cik,0001633061
isin,US0321088470
cusip,032108847
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund will normally invest at least 80% of its net assets in securities of the index. Because the index is comprised of securities issued by other investment companies, the fund operates in a manner that is commonly referred to as a ""fund of funds,"" meaning that it invests its assets in shares of funds that are included in the index. The index seeks to measure the performance of the top 45 U.S. exchange-listed closed-end funds."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/YYY.png
ipoDate,2013-06-21
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
