,PFEB
symbol,PFEB
price,29.05
beta,0
volAvg,33496
mktCap,0
lastDiv,0
range,26.36-29.69
changes,-0.01
companyName,Innovator U.S. Equity Power Buffer ETF - February
currency,USD
cik,
isin,US45782C4179
cusip,
exchange,BATS
exchangeShortName,ETF
industry,
website,
description,"The fund invests at least 80% of its net assets in FLexible EXchange® Options (""FLEX Options"") that reference the SPDR® S&P 500® ETF Trust (the ""Underlying ETF""). FLEX Options are exchange-traded options contracts with uniquely customizable terms. Although guaranteed for settlement by the Options Clearing Corporation (the ""OCC""), FLEX Options are still subject to counterparty risk with the OCC and may be less liquid than more traditional exchange-traded options. It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/PFEB.png
ipoDate,2020-02-03
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
