,SMH
symbol,SMH
price,237.1
beta,0
volAvg,3922601
mktCap,2767170153
lastDiv,2.401
range,166.97-290.35
changes,3.55
companyName,VanEck Semiconductor ETF
currency,USD
cik,
isin,US92189F6768
cusip,92189F676
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,The fund normally invests at least 80% of its total assets in securities that comprise the fund's benchmark index. The index includes common stocks and depositary receipts of U.S. exchange-listed companies in the semiconductor industry. Such companies may include medium-capitalization companies and foreign companies that are listed on a U.S. exchange. The fund is non-diversified.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/SMH.png
ipoDate,2000-05-05
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
