,IUSV
symbol,IUSV
price,75.77
beta,0
volAvg,915680
mktCap,7539114697
lastDiv,1.569
range,62.05-77.79
changes,1.16
companyName,iShares Core S&P U.S. Value ETF
currency,USD
cik,
isin,US4642876639
cusip,464287663
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The fund generally will invest at least 80% of its assets in the component securities of its index and in investments that have economic characteristics that are substantially identical to the component securities of its index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/IUSV.png
ipoDate,2000-07-24
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
