,DPST
symbol,DPST
price,27.3788
beta,0
volAvg,319213
mktCap,33697854
lastDiv,0.34099999999999997
range,20.04-60.31
changes,1.3988
companyName,Direxion Daily Regional Banks Bull 3X Shares
currency,USD
cik,0001424958
isin,US25460G8649
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests at least 80% of its net assets in financial instruments, such as swap agreements, securities of the index, and ETFs that track the index and other financial instruments that provide daily leveraged exposure to the index or to ETFs that track the index. The index is a modified equal-weighted index that is designed to measure performance of the stocks comprising the S&P Total Market Index that are classified in the GICS regional banks sub-industry. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/DPST.png
ipoDate,2015-08-19
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
