,NUAG
symbol,NUAG
price,21.19
beta,0
volAvg,25185
mktCap,0
lastDiv,0.6530000000000001
range,19.685-24.07
changes,0.09
companyName,Nuveen Enhanced Yield U.S. Aggregate Bond ETF
currency,USD
cik,
isin,US67092P1021
cusip,67092P102
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"Under normal market conditions, the fund invests at least 80% of its assets, exclusive of collateral held from securities lending, in component securities of the index. The index consists of U.S. dollar-denominated, investment grade taxable debt securities with fixed rate coupons that have at least one year to final maturity."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/NUAG.png
ipoDate,2016-09-14
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
