,DHS
symbol,DHS
price,88.68
beta,0
volAvg,113826
mktCap,983513965
lastDiv,2.9499999999999997
range,75.76-91.9
changes,1.28
companyName,WisdomTree U.S. High Dividend Fund
currency,USD
cik,
isin,US97717W2089
cusip,97717W208
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"Under normal circumstances, at least 95% of the fund's total assets (exclusive of collateral held from securities lending) will be invested in component securities of the index and investments that have economic characteristics that are substantially identical to the economic characteristics of such component securities. The index is a fundamentally weighted index that is comprised of companies with the highest dividend yields selected from the WisdomTree U.S. Dividend Index. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/DHS.png
ipoDate,2006-06-16
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
