,ERX
symbol,ERX
price,69.52
beta,0
volAvg,1469272
mktCap,389971745
lastDiv,1.4860000000000002
range,38.93-80.27
changes,1.01
companyName,Direxion Daily Energy Bull 2X Shares
currency,USD
cik,0001424958
isin,US25460G6098
cusip,25459W888
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests at least 80% of its net assets in financial instruments, such as swap agreements, securities of the index, and ETFs that track the index and other financial instruments that provide daily leveraged exposure to the index or to ETFs that track the index. The index is provided by S&P Dow Jones Indices and includes domestic companies from the energy sector which includes the following industries: oil, gas and consumable fuels; and energy equipment and services. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/ERX.png
ipoDate,2008-11-06
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
