,IHDG
symbol,IHDG
price,38.36
beta,0
volAvg,253286
mktCap,446397545
lastDiv,4.743
range,35.29-43.77
changes,0.18
companyName,WisdomTree International Hedged Quality Dividend Growth Fund
currency,USD
cik,
isin,US97717X5941
cusip,97717X594
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund will invest at least 80% of its total assets in component securities of the index and investments that have economic characteristics that are substantially identical to the economic characteristics of such component securities. The index consists of dividend-paying common stocks with growth characteristics of companies in the industrialized world, excluding Canada and the U.S., while at the same time neutralizing exposure to fluctuations of the value of foreign currencies relative to the USD. It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/IHDG.png
ipoDate,2014-05-07
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
