,PCY
symbol,PCY
price,19.64
beta,0
volAvg,1229455
mktCap,0
lastDiv,1.2670000000000001
range,16.2-25.3
changes,0.12
companyName,Invesco Emerging Markets Sovereign Debt ETF
currency,USD
cik,
isin,US46138E7849
cusip,46138E784
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,The fund generally will invest at least 80% of its total assets in the components that comprise the underlying index. The underlying index measures potential returns of a theoretical portfolio of U.S. dollar-denominated government bonds.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/PCY.png
ipoDate,2007-10-11
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
