,FIXD
symbol,FIXD
price,45.4734
beta,0
volAvg,656219
mktCap,29296007855
lastDiv,1.4350000000000003
range,41.848-52.29
changes,0.1666
companyName,First Trust TCW Opportunistic Fixed Income ETF
currency,USD
cik,
isin,US33740F8059
cusip,33740F805
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The fund pursues its objective by investing at least 80% of its net assets (including investment borrowings) in fixed income securities. It may invest up to 35% of its net assets in corporate, non-U.S. and non-agency debt and other securities rated below investment grade by one or more nationally recognized statistical rating organization (""NRSRO""), or, if unrated, judged to be of comparable quality by the Sub-Advisor."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/FIXD.png
ipoDate,2017-02-14
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
