,SPMD
symbol,SPMD
price,46.45
beta,0
volAvg,661637
mktCap,0
lastDiv,0.698
range,38.21-48.67
changes,1.1
companyName,SPDR Portfolio S&P 400 Mid Cap ETF
currency,USD
cik,
isin,US78464A8475
cusip,78464A847
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"Under normal market conditions, the fund generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index. The index is designed to measure the performance of the mid-capitalization segment of the U.S. equity market."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/SPMD.png
ipoDate,2005-11-08
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
