,ARKK
symbol,ARKK
price,39.93
beta,0
volAvg,24583565
mktCap,1819784914
lastDiv,0.783
range,29.43-78.25
changes,1.42
companyName,ARK Innovation ETF
currency,USD
cik,0001579982
isin,US00214Q1040
cusip,00214Q104
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund is an actively-managed exchange-traded fund (""ETF"") that will invest under normal circumstances primarily (at least 65% of its assets) in domestic and foreign equity securities of companies that are relevant to the fund's investment theme of disruptive innovation. Its investments in foreign equity securities will be in both developed and emerging markets. It may invest in foreign securities (including investments in American Depositary Receipts (""ADRs"") and Global Depositary Receipts (""GDRs"")) and securities listed on local foreign exchanges. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/ARKK.png
ipoDate,2014-10-31
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
