,CHIR
symbol,CHIR
price,23.69
beta,0
volAvg,6934
mktCap,0
lastDiv,0.071
range,14.1-37.785
changes,-0.03
companyName,Global X MSCI China Real Estate ETF
currency,USD
cik,
isin,US37954Y5252
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests at least 80% of its total assets in the securities of the underlying index and in ADRs and GDRs based on the securities in the underlying index. The underlying index tracks the performance of companies in the MSCI China Index (the ""parent index"") that are classified in the real estate sector, as defined by the index provider. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/CHIR.png
ipoDate,2018-12-07
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
