,ITEQ
symbol,ITEQ
price,47.45
beta,0
volAvg,12540
mktCap,0
lastDiv,0.05
range,41.12-57.96
changes,0.9862
companyName,BlueStar Israel Technology ETF
currency,USD
cik,
isin,US26924G8704
cusip,26924G870
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The index tracks the performance of exchange-listed Israeli technology operating companies. Such companies may be engaged in a wide spectrum of technology related sectors, including information technology, biotechnology, clean energy and water technology and defense technology. The fund will invest at least 80% of its total assets in the component securities of the index and in depositary receipts representing such securities. It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/ITEQ.png
ipoDate,2015-11-02
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
