,AAXJ
symbol,AAXJ
price,70.9
beta,0
volAvg,1049973
mktCap,1582457797
lastDiv,1.124
range,54.39-83.69
changes,-0.42
companyName,iShares MSCI All Country Asia ex Japan ETF
currency,USD
cik,
isin,US4642881829
cusip,464288182
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The fund will invest at least 80% of its assets in the component securities of the index and in investments that have economic characteristics that are substantially identical to the component securities of the index. The index is a free float-adjusted market capitalization index designed to measure equity market performance of securities from the following 11 developed and emerging market countries or regions: China, Hong Kong, India, Indonesia, Malaysia, Pakistan, the Philippines, Singapore, South Korea, Taiwan and Thailand."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/AAXJ.png
ipoDate,2008-08-13
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
