,FVC
symbol,FVC
price,35.72
beta,0
volAvg,45396
mktCap,0
lastDiv,0.527
range,32.82-38.63
changes,0.2263
companyName,First Trust Dorsey Wright Dynamic Focus 5 ETF
currency,USD
cik,
isin,US33738R8786
cusip,33738R878
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,The fund will normally invest at least 80% of its net assets in the ETFs that comprise the index. The index is designed to provide targeted exposure to the five First Trust sector and industry-based ETFs that the index determines offer the greatest potential to outperform the other First Trust sector and industry-based ETFs and that satisfy certain trading volume and liquidity requirements.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/FVC.png
ipoDate,2016-03-18
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
