,NTSX
symbol,NTSX
price,34.71
beta,0
volAvg,145913
mktCap,0
lastDiv,0.44199999999999995
range,29.6-42.16
changes,0.51
companyName,WisdomTree U.S. Efficient Core Fund
currency,USD
cik,
isin,US97717Y7904
cusip,97717Y790
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund is actively managed using a models-based approach. It seeks to achieve its investment objective by investing in large-capitalization U.S. equity securities and U.S. Treasury futures contracts. Under normal circumstances, the fund will invest approximately 90% of its net assets in U.S. equity securities. It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/NTSX.png
ipoDate,2018-08-02
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
