,XAR
symbol,XAR
price,118.17
beta,0
volAvg,76157
mktCap,0
lastDiv,0.5489999999999999
range,91.37-127.9
changes,1.76
companyName,SPDR S&P Aerospace & Defense ETF
currency,USD
cik,
isin,US78464A6313
cusip,78464A631
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"In seeking to track the performance of the S&P Aerospace & Defense Select Industry Index (the ""index""), the fund employs a sampling strategy. It generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index. The index represents the aerospace and defense segment of the S&P Total Market Index (""S&P TMI"")."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/XAR.png
ipoDate,2011-09-28
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
